Sample,InsertionSortTime,InsertionSortCompares,InsertionSortMemaccess,MergeSortTime,MergeSortCompares,MergeSortMemaccess,QuickSortTime,QuickSortCompares,QuickSortMemaccess
Sample01,0.000000,28,132,0.000000,24,184,0.000000,50,95
Sample02,0.000000,37,186,0.000000,23,182,0.000000,53,102
Sample03,0.000000,17,66,0.000000,23,182,0.000000,48,81
Sample04,0.000000,23,102,0.000000,24,184,0.000000,55,88
Sample05,0.000000,27,126,0.000000,23,182,0.000000,49,90
Sample06,0.000000,39,198,0.000000,22,180,0.000000,53,102
Sample07,0.000000,20,84,0.000000,21,178,0.000000,49,78
Sample08,0.000000,27,126,0.000000,23,182,0.000000,54,103
Sample09,0.000000,33,162,0.000000,21,178,0.000000,52,93
Sample10,0.000000,32,156,0.000000,23,182,0.000000,49,94
