Sample,InsertionSortTime,InsertionSortCompares,InsertionSortMemaccess,MergeSortTime,MergeSortCompares,MergeSortMemaccess,QuickSortTime,QuickSortCompares,QuickSortMemaccess
Sample01,0.000000,40,204,0.000000,21,178,0.000000,57,102
Sample02,0.000000,28,132,0.000000,22,180,0.000000,51,88
Sample03,0.000000,26,120,0.000000,22,180,0.000000,55,100
Sample04,0.000000,32,156,0.000000,21,178,0.000000,52,105
Sample05,0.000000,31,150,0.000000,24,184,0.000000,46,79
Sample06,0.000000,36,180,0.000000,25,186,0.000000,50,95
Sample07,0.000000,25,114,0.000000,21,178,0.000000,51,76
Sample08,0.000000,21,90,0.000000,20,176,0.000000,56,97
Sample09,0.000000,32,156,0.000000,25,186,0.000000,56,93
Sample10,0.000000,36,180,0.000000,24,184,0.000000,47,84
